Word,Frequency
the,23
I,20
it,14
in,11
you,10
my,9
to,8
girl,8
can't,7
a,7
do,6
are,6
alone,6
was,6
and,6
I'm,6
feel,6
bones,6
but,5
for,5
back,4
world,4
see,4
on,4
modest,3
house,3
about,3
every,3
of,3
gloves,3
her,3
stronger,3
not,3
what,3
ready,3
always,3
step,3
now,3
mouse,3
they,3
wisdom,3
time,3
off,3
she's,3
out,3
teeth,3
such,3
when,3
truth,2
we,2
way,2
from,2
all,2
than,2
still,2
saw,2
true,2
know,2
that,2
is,2
your,2
me,2
new,1
boombox,1
es,1
mechanicsburg,1
them,1
ancestors,1
within,1
life,1
alameda,1
deserves,1
home,1
hid,1
stepped,1
ignored,1
gift,1
york,1
us,1
hoarder,1
entombed,1
death,1
old,1
better,1
maybe,1
trade,1
everyone's,1
didn't,1
stale,1
like,1
knife,1
stars,1
slash,1
la,1
croesus,1
cursed,1
slow,1
their,1
reader,1
communist,1
well,1
san,1
berkeley,1
told,1
leather,1
tapes,1
you'd,1
weather,1
dar,1
falling,1
protect,1
tougher,1
walkman,1
front,1
used,1
bread,1
francisco,1
master,1
just,1
you're,1
while,1
salaam,1
conversation,1
how,1
dress,1
yet,1
then,1
punks,1
gone,1
anchorage,1
disco,1
together,1
mine,1
youth,1
sound,1
laugh,1
resurrect,1
past,1
with,1
angkor,1
can,1
flesh,1
honor,1
wisdom's,1
an,1
sun,1
would,1
need,1
tales,1
there,1
huddled,1
oakland,1
champagne,1
actually,1
doesn't,1
it's,1
she,1
age,1
snow,1
richer,1
who,1
dying,1
wat,1
astor,1
